id,label,conversation
1,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
2,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
3,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
4,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
5,Neutral,"العميل: ما هي الخطوات المطلوبة لتفعيل البطاقة؟
الموظف: فقط اتصل على الرقم الموجود خلف البطاقة وسيتم التفعيل تلقائيًا."
6,Neutral,"العميل: متى تقريبا توصل البطاقة؟
الموظف: خلال 3 أيام عمل بالكثير."
7,Neutral,"العميل: البطاقة وين بتتوصل؟ عالبيت ولا الفرع؟
الموظف: عالبيت إن شاء الله، بيجيك اتصال وقت التوصيل."
8,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
9,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
10,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
11,Positive,"العميل: البطاقة وصلتني في وقت قياسي، أنتم الأفضل.
الموظف: هذا من دواعي سرورنا، نسعد بخدمتك دائمًا."
12,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
13,Negative,"العميل: لي شهر أراجع وما صار شي.
الموظف: حنراجع المشكلة ونتواصل معك بأقرب وقت."
14,Positive,"العميل: أشكركم على المتابعة السريعة، استلمت البطاقة دون مشاكل.
الموظف: شكراً لثقتك بنا، نتمنى لك يوماً سعيداً."
15,Neutral,"العميل: البطاقة وين بتتوصل؟ عالبيت ولا الفرع؟
الموظف: عالبيت إن شاء الله، بيجيك اتصال وقت التوصيل."
16,Neutral,"العميل: ما هي الخطوات المطلوبة لتفعيل البطاقة؟
الموظف: فقط اتصل على الرقم الموجود خلف البطاقة وسيتم التفعيل تلقائيًا."
